,Price_Level,Date_Index
874,1.897,2018-04
875,1.897,2018-05
876,1.897,2018-06
877,1.897,2018-07
878,1.897,2018-08
879,1.897,2018-09
880,1.897,2018-10
881,1.897,2018-11
882,1.897,2018-12
883,1.897,2019-01
884,1.897,2019-02
885,1.897,2019-03
886,1.897,2019-04
887,1.897,2019-05
888,1.897,2019-06
889,1.897,2019-07
890,1.897,2019-08
891,1.897,2019-09
892,1.897,2019-10
893,1.897,2019-11
894,1.897,2019-12
895,1.897,2020-01
896,1.897,2020-02
897,1.897,2020-03
898,1.897,2020-04
899,1.897,2020-05
900,1.897,2020-06
901,1.897,2020-07
902,1.897,2020-08
903,1.897,2020-09
904,1.897,2020-10
905,1.897,2020-11
906,1.897,2020-12
907,1.897,2021-01
908,1.897,2021-02
909,21.68,2021-03
910,21.68,2021-04
911,21.68,2021-05
912,21.68,2021-06
913,16.259999999999998,2021-07
914,84.378,2021-08
915,40.65,2021-09
916,40.65,2021-10
917,48.78,2021-11
918,48.78,2021-12
919,46.07,2022-01
920,20.325000000000003,2022-02
921,20.325000000000003,2022-03
922,20.325000000000003,2022-04
923,20.325000000000003,2022-05
924,0.0,2016-01
925,0.0,2016-02
926,0.0,2016-03
927,0.0,2016-04
928,0.0,2016-05
929,0.0,2016-06
930,0.0,2016-07
931,0.0,2016-08
932,0.0,2016-09
933,0.0,2016-10
934,0.0,2016-11
935,0.0,2016-12
936,0.0,2017-01
937,0.0,2017-02
938,0.0,2017-03
939,0.0,2017-04
940,0.0,2017-05
941,0.0,2017-06
942,2.71,2017-07
943,2.71,2017-08
944,2.71,2017-09
945,2.71,2017-10
946,2.71,2017-11
947,2.71,2017-12
948,2.71,2018-01
949,2.1138,2018-02
950,2.1138,2018-03
951,2.1138,2018-04
952,2.1138,2018-05
953,2.1138,2018-06
954,2.1138,2018-07
955,2.1138,2018-08
956,2.1138,2018-09
957,2.1138,2018-10
958,2.1138,2018-11
959,2.1138,2018-12
960,2.1138,2019-01
961,2.1138,2019-02
962,2.1138,2019-03
963,2.1138,2019-04
964,2.1138,2019-05
965,2.1138,2019-06
966,2.1138,2019-07
967,2.1138,2019-08
968,2.1138,2019-09
969,2.1138,2019-10
970,2.1138,2019-11
971,2.1138,2019-12
972,2.1138,2020-01
973,2.1138,2020-02
974,2.1138,2020-03
975,2.1138,2020-04
976,2.1138,2020-05
977,2.1138,2020-06
978,2.1138,2020-07
979,2.1138,2020-08
980,2.1138,2020-09
